model1,model2,model1_mean,model1_ci_lower,model1_ci_upper,model2_mean,model2_ci_lower,model2_ci_upper,mean_difference,cohens_d,p_value,effect_size_interpretation,p_value_corrected,significant_corrected
ChatGPT_4o,GPT_o1,0.5438999999999999,0.501250271963006,0.5865497280369939,0.5637,0.416109670717723,0.711290329282277,-0.01980000000000004,-0.290026547033218,0.8857142857142857,small,0.8857142857142857,False
ChatGPT_4o,GPT_o1_Pro,0.5438999999999999,0.501250271963006,0.5865497280369939,0.5919000000000001,0.4732825940982909,0.7105174059017093,-0.048000000000000154,-0.8569151782116663,0.4857142857142857,large,0.8857142857142857,False
GPT_o1,GPT_o1_Pro,0.5637,0.416109670717723,0.711290329282277,0.5919000000000001,0.4732825940982909,0.7105174059017093,-0.028200000000000114,-0.33514479542177883,0.6857142857142857,small,0.8857142857142857,False
