model1,model2,model1_mean,model1_ci_lower,model1_ci_upper,model2_mean,model2_ci_lower,model2_ci_upper,mean_difference,cohens_d,p_value,effect_size_interpretation,p_value_corrected,significant_corrected
ChatGPT_4o,GPT_o1,0.072576,0.022255876595952052,0.12289612340404796,0.058820250000000004,0.04282603095727695,0.07481446904272306,0.013755749999999997,0.5862588874033388,0.38363032713198975,medium,0.5754454906979847,False
ChatGPT_4o,GPT_o1_Pro,0.072576,0.022255876595952052,0.12289612340404796,0.053297,0.03534178065422053,0.07125221934577947,0.019279000000000004,0.8120171609324279,0.34285714285714286,large,0.5754454906979847,False
GPT_o1,GPT_o1_Pro,0.058820250000000004,0.04282603095727695,0.07481446904272306,0.053297,0.03534178065422053,0.07125221934577947,0.005523250000000007,0.5168920917546748,0.6857142857142857,medium,0.6857142857142857,False
