task,coverage_mean,coverage_std,coverage_min,coverage_max,weighted_coverage_mean,weighted_coverage_std,weighted_coverage_min,weighted_coverage_max,num_samples,num_ground_truth_terms,num_baseline_terms
keywords,0.011000000000000001,0.024062418831031933,0.0,0.1,0.011285714285714288,0.03117978733606109,0.0,0.1761904761904762,100,20,3790
papers,0.002,0.009797958971132715,0.0,0.05,0.003,0.015023111447067828,0.0,0.09523809523809523,100,20,8552
authors,0.0005,0.004974937185533097,0.0,0.05,0.00014285714285714284,0.0014214106244380283,0.0,0.014285714285714285,100,20,48738
institutions,0.008,0.020880613017821098,0.0,0.1,0.006857142857142857,0.02046311875118119,0.0,0.09523809523809523,100,20,1518
